"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GFC_TREE_COVER","GFC_FOREST_GAIN","GFC_FOREST_LOSS","GFC_FOREST_LOSS_YEAR","GFC_DATA_MASK","class"
"529","7.24163557863975","-5.56064427949962","220","0.00546557754945041","1.1076615460876","Lacs","Côte d'Ivoire",0,0,0,0,0,1
"353","7.36290610225282","-5.5766509034195","233","0.0103688765125765","0.767662268951105","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,1
"5","6.96274050420076","-5.56796934468329","365","0.0668536530514341","3.7428425178254","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"231","6.95487284159499","-6.14176611740438","300","0.00686403202962124","3.46354335643363","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"810","7.37728493391164","-6.40872404854271","254","0.0154111681981761","1.41169511239148","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"596","7.41852233791429","-5.93774948710355","262","0.00735302823305778","4.27418095795538","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"675","6.92285959375083","-6.10568338890703","314","0.0034596800826905","3.98278557522207","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"716","7.06556271549685","-6.38946184009675","273","0.0108753758066203","1.14657244414008","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"342","7.23892259153432","-6.40980924338473","247","0.00524065692905938","5.35009516548895","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"841","7.53816506926409","-6.32326495473318","301","0.00570490152289752","4.49671440948641","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"814","7.67978299616794","-6.14366520837793","229","0.0143627053907591","3.52991892969887","Woroba","Côte d'Ivoire",0,0,0,0,0,1
"915","7.37484324551674","-5.60052518994407","239","0.0101515506489245","4.98292843879309","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,1
"481","6.982816608781","-5.81756415834921","180","0.0100442438407423","0.287771798129925","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"124","7.22725674698093","-6.05088104938473","209","0.0203560711705235","3.51014806099292","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"278","7.2679515535625","-6.2266826137929","288","0.0125323895906855","2.26348087669961","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"808","7.07532946907643","-5.43259128814059","199","0.00518813802699053","4.60760939185979","Lacs","Côte d'Ivoire",0,0,0,0,0,1
"575","7.41526675338777","-6.27226079715797","287","0.00691965034537898","3.16123084613279","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"832","7.67381442453597","-6.10269910309146","225","0.0112786392574628","4.44460310356886","Woroba","Côte d'Ivoire",0,0,0,0,0,1
"97","7.25411531932477","-6.07095715396221","203","0.00915273442216707","3.35088361005987","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"130","7.63094922827006","-6.05006715325321","228","0.0110120586041617","2.74887691392881","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"453","7.36371999838445","-6.40546846401663","242","0.00275058715469278","4.35990500253071","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"137","7.44375311799486","-5.58696025441875","264","0.00121376397364436","5.81883691104664","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,1
"138","7.12769012021137","-6.28365534299924","286","0.00728599055500888","2.03402636156011","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"633","7.26279687806217","-5.58804544926077","228","0.012685478689247","5.67972191355419","Lacs","Côte d'Ivoire",0,0,0,0,0,1
"461","6.97630543972795","-5.46921661405896","314","0.0650609943735556","5.99153020517479","Yamoussoukro","Côte d'Ivoire",0,0,0,0,0,1
"324","7.45053558575845","-5.47762687408466","232","0.00347821469309922","4.03851131742238","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,1
"272","7.17299700487218","-6.39488781430688","253","0.00516702032636363","5.76029073512998","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"408","7.68276728198392","-6.39407391817536","312","0.00531824345353926","1.64739316755621","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"645","7.58455714876708","-6.30942872049735","309","0.00749514833147691","5.10226520723926","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"325","7.67245793098326","-5.87724987466062","296","0.0106830994068884","1.82756139521952","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"574","7.17109791389838","-6.10622598632804","251","0.0116882507680569","5.24832576770595","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"607","7.21694739598027","-5.95429870844444","216","0.00454847174236498","2.8383529655563","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"708","7.21966038308571","-6.20660650921542","248","0.0138582914952376","0.967073117912956","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"655","7.15509128997629","-5.4287931061935","213","0.0117799288230317","4.25948282098792","Lacs","Côte d'Ivoire",0,0,0,0,0,1
"840","7.57180610937152","-6.43666781572487","282","0.00819624506087886","3.35889504931741","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"938","7.40956948046635","-6.19819624918972","306","0.00809852191721581","1.96628185794804","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"428","7.18466284942556","-5.72369480451398","212","0.00828875583171674","0.693217913418421","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"273","6.91743361953995","-6.12603079219501","281","0.00522115196240215","4.22573624172271","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"557","6.92991336022497","-5.89596948568556","190","0.00542829623225528","0.92758984523889","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
"530","7.43832714378398","-5.5682406433938","242","0.00896751552120528","2.18318873813687","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,1
"380","7.67788390519413","-6.31322690244444","319","0.00598861040113752","1.6161157706605","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,1
