Name	Code	Type
Multi-Layer_Perceptron,_multiple_layers	mlpWeightDecayML	Dual_Use
Penalized_Multinomial_Regression	multinom	Classification
Naive_Bayes	nb	Classification
Naive_Bayes_Classifier	nbDiscrete	Classification
Semi-Naive_Structure_Learner_Wrapper	nbSearch	Classification
Neural_Network	neuralnet	Regression
Neural_Network	nnet	Dual_Use
Non-Negative_Least_Squares	nnls	Regression
Tree-Based_Ensembles	nodeHarvest	Dual_Use
Oblique_Trees	oblique.tree	Classification
Single_Rule_Classification	OneR	Classification
Oblique_Random_Forest	ORFlog	Classification
Oblique_Random_Forest	ORFpls	Classification
Oblique_Random_Forest	ORFridge	Classification
Oblique_Random_Forest	ORFsvm	Classification
Optimal_Weighted_Nearest_Neighbor_Classifier	ownn	Classification
Nearest_Shrunken_Centroids	pam	Classification
Parallel_Random_Forest	parRF	Dual_Use
Rule-Based_Classifier	PART	Classification
partDSA	partDSA	Dual_Use
Neural_Networks_with_Feature_Extraction	pcaNNet	Dual_Use
Principal_Component_Analysis	pcr	Regression
Penalized_Discriminant_Analysis	pda	Classification
Penalized_Discriminant_Analysis	pda2	Classification
Penalized_Linear_Regression	penalized	Regression
Penalized_Linear_Discriminant_Analysis	PenalizedLDA	Classification
Penalized_Logistic_Regression	plr	Classification
Partial_Least_Squares	pls	Dual_Use
Partial_Least_Squares_Generalized_Linear_Models	plsRglm	Dual_Use
Ordered_Logistic_or_Probit_Regression	polr	Classification
Projection_Pursuit_Regression	ppr	Regression
Greedy_Prototype_Selection	protoclass	Classification
Knn_regression_via_sklearn.neighbors.KNeighborsRegressor	pythonKnnReg	Regression
Quadratic_Discriminant_Analysis	qda	Classification
Robust_Quadratic_Discriminant_Analysis	QdaCov	Classification
Quantile_Random_Forest	qrf	Regression
Quantile_Regression_Neural_Network	qrnn	Regression
Ensembles_of_Generalized_Lienar_Models	randomGLM	Dual_Use
Random_Forest	ranger	Dual_Use
Radial_Basis_Function_Network	rbf	Dual_Use
Radial_Basis_Function_Network	rbfDDA	Dual_Use
Regularized_Discriminant_Analysis	rda	Classification
Relaxed_Lasso	relaxo	Regression
Random_Forest	rf	Dual_Use
Random_Ferns	rFerns	Classification
Factor-Based_Linear_Discriminant_Analysis	RFlda	Classification
Random_Forest_Rule-Based_Model	rfRules	Dual_Use
Ridge_Regression	ridge	Regression
Random_k-Nearest_Neighbors	rknn	Dual_Use
Random_k-Nearest_Neighbors_with_Feature_Selection	rknnBel	Dual_Use
Robust_Linear_Model	rlm	Regression
Robust_Mixture_Discriminant_Analysis	rmda	Classification
ROC-Based_Classifier	rocc	Classification
Rotation_Forest	rotationForest	Classification
Rotation_Forest	rotationForestCp	Classification
CART	rpart	Dual_Use
CART	rpart1SE	Dual_Use
CART	rpart2	Dual_Use
Cost-Sensitive_CART	rpartCost	Classification
Quantile_Regression_with_LASSO_penalty	rqlasso	Regression
Non-Convex_Penalized_Quantile_Regression	rqnc	Regression
Regularized_Random_Forest	RRF	Dual_Use
Regularized_Random_Forest	RRFglobal	Dual_Use
Robust_Regularized_Linear_Discriminant_Analysis	rrlda	Classification
Robust_SIMCA	RSimca	Classification
Relevance_Vector_Machines_with_Linear_Kernel	rvmLinear	Regression
Relevance_Vector_Machines_with_Polynomial_Kernel	rvmPoly	Regression
Relevance_Vector_Machines_with_Radial_Basis_Function_Kernel	rvmRadial	Regression
Subtractive_Clustering_and_Fuzzy_c-Means_Rules	SBC	Regression
Shrinkage_Discriminant_Analysis	sda	Classification
Stepwise_Diagonal_Linear_Discriminant_Analysis	sddaLDA	Classification
Stepwise_Diagonal_Quadratic_Discriminant_Analysis	sddaQDA	Classification
Sparse_Distance_Weighted_Discrimination	sdwd	Classification
Partial_Least_Squares	simpls	Dual_Use
Fuzzy_Rules_Using_the_Structural_Learning_Algorithm_on_Vague_Environment	SLAVE	Classification
Stabilized_Linear_Discriminant_Analysis	slda	Classification
Sparse_Mixture_Discriminant_Analysis	smda	Classification
Stabilized_Nearest_Neighbor_Classifier	snn	Classification
Sparse_Linear_Discriminant_Analysis	sparseLDA	Classification
Spike_and_Slab_Regression	spikeslab	Regression
Sparse_Partial_Least_Squares	spls	Dual_Use
Linear_Discriminant_Analysis_with_Stepwise_Feature_Selection	stepLDA	Classification
Quadratic_Discriminant_Analysis_with_Stepwise_Feature_Selection	stepQDA	Classification
Supervised_Principal_Component_Analysis	superpc	Regression
Support_Vector_Machines_with_Boundrange_String_Kernel	svmBoundrangeString	Dual_Use
Support_Vector_Machines_with_Exponential_String_Kernel	svmExpoString	Dual_Use
Support_Vector_Machines_with_Linear_Kernel	svmLinear	Dual_Use
Support_Vector_Machines_with_Linear_Kernel	svmLinear2	Dual_Use
Support_Vector_Machines_with_Polynomial_Kernel	svmPoly	Dual_Use
Support_Vector_Machines_with_Radial_Basis_Function_Kernel	svmRadial	Dual_Use
Support_Vector_Machines_with_Radial_Basis_Function_Kernel	svmRadialCost	Dual_Use
Support_Vector_Machines_with_Radial_Basis_Function_Kernel	svmRadialSigma	Dual_Use
Support_Vector_Machines_with_Class_Weights	svmRadialWeights	Classification
Support_Vector_Machines_with_Spectrum_String_Kernel	svmSpectrumString	Dual_Use
Tree_Augmented_Naive_Bayes_Classifier	tan	Classification
Tree_Augmented_Naive_Bayes_Classifier_Structure_Learner_Wrapper	tanSearch	Classification
Bagged_CART	treebag	Dual_Use
Variational_Bayesian_Multinomial_Probit_Regression	vbmpRadial	Classification
Partial_Least_Squares	widekernelpls	Dual_Use
Wang_and_Mendel_Fuzzy_Rules	WM	Regression
Weighted_Subspace_Random_Forest	wsrf	Classification
eXtreme_Gradient_Boosting	xgbLinear	Dual_Use
eXtreme_Gradient_Boosting	xgbTree	Dual_Use
Self-Organizing_Maps	xyf	Dual_Use
